,company_name,company_based,no_employees,tenure,headquartered,designation,experience,salary_range,avg_salary,rating
0,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,System Engineer,0-9yrs,(₹1.9L/yr - ₹9.0L/yr),"₹6,03,065/year",3.8
1,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,IT Analyst,3-11yrs,(₹5.0L/yr - ₹15.0L/yr),"₹9,87,937/year",3.8
2,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,AST Consultant,6-15yrs,(₹7.9L/yr - ₹24.0L/yr),"₹15,33,494/year",3.8
3,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Assistant System Engineer,0-4yrs,(₹2.2L/yr - ₹4.8L/yr),"₹4,00,473/year",3.8
4,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Associate Consultant,5-21yrs,(₹8.5L/yr - ₹35.5L/yr),"₹19,90,789/year",3.8
5,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Software Engineer,0-8yrs,(₹3.0L/yr - ₹11.8L/yr),"₹7,70,962/year",3.8
6,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Senior Process Associate,0-11yrs,(₹1.5L/yr - ₹7.7L/yr),"₹4,35,584/year",3.8
7,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Software Developer,0-9yrs,(₹3.0L/yr - ₹12.0L/yr),"₹7,58,008/year",3.8
8,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,Process Associate,0-8yrs,(₹1.2L/yr - ₹5.5L/yr),"₹3,10,289/year",3.8
9,TCS,IT Services & Consulting , 1 Lakh+ Employees ,55,Mumbai,IT Analyst C2,3-10yrs,(₹5.4L/yr - ₹17.2L/yr),"₹10,27,133/year",3.8
10,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Application Development Analyst,0-6yrs,(₹3.0L/yr - ₹12.0L/yr),"₹7,85,607/year",4.0
11,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Application Development - Senior Analyst,2-9yrs,(₹6.3L/yr - ₹20.0L/yr),"₹12,38,665/year",4.0
12,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Team Lead,4-14yrs,(₹7.0L/yr - ₹24.8L/yr),"₹16,64,812/year",4.0
13,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Senior Software Engineer,2-10yrs,(₹5.9L/yr - ₹18.0L/yr),"₹12,95,206/year",4.0
14,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Software Engineer,0-7yrs,(₹3.5L/yr - ₹12.6L/yr),"₹7,69,486/year",4.0
15,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Senior Analyst,0-12yrs,(₹4.9L/yr - ₹20.5L/yr),"₹11,53,708/year",4.0
16,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Associate Software Engineer,0-5yrs,(₹2.2L/yr - ₹8.5L/yr),"₹4,77,768/year",4.0
17,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Transaction Processing Associate,0-7yrs,(₹75.0K/yr - ₹8.2L/yr),"₹3,56,110/year",4.0
18,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Application Development Team Lead,4-12yrs,(₹10.0L/yr - ₹28.3L/yr),"₹18,16,807/year",4.0
19,Accenture,IT Services & Consulting , 1 Lakh+ Employees ,34,Dublin,Analyst,0-12yrs,(₹2.5L/yr - ₹11.0L/yr),"₹7,46,329/year",4.0
20,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Programmer Analyst,0-7yrs,(₹2.5L/yr - ₹9.5L/yr),"₹5,86,251/year",3.9
21,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Senior Associate,2-15yrs,(₹8.6L/yr - ₹25.0L/yr),"₹15,92,095/year",3.9
22,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Senior Processing Executive,0-8yrs,(₹1.5L/yr - ₹8.0L/yr),"₹4,18,620/year",3.9
23,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Project Associate,1-8yrs,(₹5.7L/yr - ₹17.7L/yr),"₹11,19,956/year",3.9
24,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Technical Lead,1-14yrs,(₹5.4L/yr - ₹22.6L/yr),"₹12,95,121/year",3.9
25,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Processing Executive,0-3yrs,(₹1.1L/yr - ₹5.0L/yr),"₹2,64,131/year",3.9
26,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Software Engineer,0-7yrs,(₹3.3L/yr - ₹14.0L/yr),"₹8,47,954/year",3.9
27,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Programmer Analyst Trainee,0-1yrs,(₹90.0K/yr - ₹4.5L/yr),"₹4,07,968/year",3.9
28,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Senior Systems Engineer,0-8yrs,(₹2.0L/yr - ₹8.0L/yr),"₹5,68,590/year",3.9
29,Cognizant,IT Services & Consulting , 1 Lakh+ Employees ,29,Teaneck.,Project Manager,8-20yrs,(₹12.4L/yr - ₹39.0L/yr),"₹23,90,751/year",3.9
30,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Project Engineer,0-7yrs,(₹1.0L/yr - ₹8.1L/yr),"₹5,44,659/year",3.8
31,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Senior Software Engineer,1-10yrs,(₹3.6L/yr - ₹20.5L/yr),"₹11,77,915/year",3.8
32,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Senior Project Engineer,1-10yrs,(₹4.8L/yr - ₹18.0L/yr),"₹10,31,841/year",3.8
33,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Senior Associate,0-7yrs,(₹80.0K/yr - ₹5.5L/yr),"₹3,13,784/year",3.8
34,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Technical Lead,4-16yrs,(₹7.9L/yr - ₹28.9L/yr),"₹18,86,086/year",3.8
35,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Software Engineer,0-7yrs,(₹2.5L/yr - ₹12.9L/yr),"₹7,83,490/year",3.8
36,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Associate Consultant,0-12yrs,(₹5.5L/yr - ₹21.4L/yr),"₹11,99,467/year",3.8
37,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Software Developer,0-8yrs,(₹2.6L/yr - ₹16.1L/yr),"₹9,09,457/year",3.8
38,Wipro,IT Services & Consulting , 1 Lakh+ Employees ,78,Bangalore/Bengaluru,Senior Test Engineer,2-11yrs,(₹5.0L/yr - ₹18.0L/yr),"₹10,95,802/year",3.8
