Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
Data Analyst,EnvestNet Asset Management India P Ltd,0 - 3 years,Trivandrum/Thiruvananthapuram,,Banking,Data AnalystEnvestNet Asset Management India P Ltd3.9(84 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description    Key responsibilities include      Discovering various business use cases for which customers leverage Yodlee data across various business units     Analysis of the financial data to increase data quality coverage and accuracy for customers     Solutioning to the gaps identified based on data driven decisions     Write user stories and review with engineering     Understanding the layout, functionality, business content and information contained within a Content Service URL, web site, or data feed     Working with multiple teams to ensure the solutioning is understood, built and rolled out successfully     Working with our various external partners to improve data quality dimensions     Participate in customer calls with CS partners to understand the customer data problems     Help to improve effectiveness and efficiency by improving on processes, building automation, building tools, building self-service mechanisms      Mindset, Skill set and Tool set Expectation for the Role      Must be a good team player with obsession for customer data delight experience     Accountability and ownership driven     Fearless mindset to learn and experiment various hypothesis to improve the customer data delight experience     Ability to build networking and maintain relationships across different teams     Ability to define individual work schedule, set milestones and deliver accordingly     Ability to troubleshoot, problem solve, and manage stakeholder issues     Strong research and analytical skills on financial data     Good prioritization skills based on cost/benefit and impact     Good sensing, listening and articulation skill with English as the language medium     Agile exposure: Scrum and Kanban     Computer skills and software knowledge, preferably Windows, Microsoft Office products (Word, Excel, PowerPoint, etc.)     General knowledge of application software and processes in delivering services     Desirable technical skills: Knowledge of conceptual database modelling and SQL   RoleBusiness Analyst,Industry TypeBanking,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsApplication SoftwareExcelMicrosoft Office ProductsUse CasesAnalytical SkillsUser StoriesScrumData AnalystWindowsSql",Application SoftwareExcelMicrosoft Office ProductsUse CasesAnalytical SkillsUser StoriesScrumData AnalystWindowsSql,Any Graduate,Any Postgraduate
Data Analyst,DSM Soft (P) Ltd,0 - 4 years,Tiruchirapalli/Trichy,Requirement : Data Analyst Executive & Lead,IT Services & Consulting,Data AnalystDSM Soft (P) Ltd3.7(56 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Requirement : Data Analyst Executive & Lead

Experience for Executive : 1 year or lesser

Experience for Lead : 2 to 3 years

Job Location : Trichy

Qualification : Any degree




Hard Skills :



Good in arithmetic and simple maths
Experience in preparation of reports and charts from structured and unstructured data
Experience or else knowledge with databases and SQLs
Use of Data Analytics tools such as Tableau
Ability to prepare reports and charts with spreadsheets
Knowledge of Data Analytics tools would be an added advantage



Soft Skills:



Good in Oral and Written English Communication
Collaboration/Team working
Innovative



RoleData Analyst
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
Data AnalysisTableauSQL
Report PreparationData Analytics toolChartsData AnalyticsArithmetic
Skills highlighted with ‘‘ are preferred keyskills",Data AnalysisTableauSQL,Any Graduate,
"Data Analyst! E-Commerce! SAAS @ Chennai , Ambattur",Uber9 Business Process Service Private Limited,0 - 2 years,Chennai, ,Legal,"Data Analyst! E-Commerce! SAAS @ Chennai , AmbatturUber9 Business Process Service Private Limited3.7(12 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description

About the company:




VakilSearch is a technology-driven platform, offering services that cover the legal needs of startups and established businesses. Some of our services include incorporation, government registrations & filings, accounting, documentation and annual compliances. In addition, we offer a wide range of services to individuals, such as property agreements and tax filings. Our mission is to provide one-click access to individuals and businesses for all their legal and professional needs.

You can learn more about us at vakilsearch.com.




About the role:

A successful data analyst needs to have a combination of technical as well leadership skills. A background in Mathematics, Statistics, Computer Science, Information Management can serve as a solid foundation to build your career as a data analyst at VakilSearch.

Why to join Vakilsearch:

Unlimited opportunities to grow
Flat hierarchy
Encouraging environment to unleash your out of box thinking skills

Responsibilities:

Preparing reports for the stakeholders and the management, enabling them to take important decisions based on various facts and trends.
Using automated tools to extract data from primary and secondary sources
Identify and recommend the right product metrics to be analysed and tracked for every feature/problem statement.
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies.

Required skills:

Bachelors degree from an accredited university or college in computer science or graduate from data science related program
Minimum of 0 - 2 years experience in analysing

Any experience with analytics tools such as mixpanel, google analytics, amplitude or any past relevant technical experience will be preferred.

Should display highest levels of ownership and adherence to timelines.
High-level written and verbal communication skills.
Knowledge of data visualization software like Tableau and Power BI

Joining Date: Immediate

Experience: 0 - 2 years

Contact: Send your resume to lakshmi@vakilsearch.com with the subject as Applying for Data Analyst

RoleData Analyst
Industry TypeLegal
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
Microsoft Power BI AnalyticsData VisualizationData AnalyticsData Analysis Tableau",Microsoft Power BI AnalyticsData VisualizationData AnalyticsData Analysis Tableau,Any Graduate,
Trainee - Junior Data Analyst,Cognizant Technology Solutions India Pvt Ltd,0 - 5 years,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru","Team Lead - CDM / PV
Qualification: Graduate/ Post Graduate/ Doctorate degree in life sciences/ Pharmacy/ Medical sciences/ Registered Nurse",IT Services & Consulting,Trainee - Junior Data AnalystCognizant Technology Solutions India Pvt Ltd3.8(17499 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Team Lead - CDM / PV
Qualification: Graduate/ Post Graduate/ Doctorate degree in life sciences/ Pharmacy/ Medical sciences/ Registered Nurse


Responsibility:
Business/ Customer:


Minimal Customer interaction under guidance.
Understands Domain Process/sub process, functions, terminologies (such as SOP, QC checklists).
For PV/Complaints Management Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity the associate is responsible for meeting turnaround times and accuracy.

CODING:
(same as SPE)

Perform coding activities on the assigned project with timelines and efficiency.
Import uncoded terms in database and export coded medical terms from coding platform.
Query Management.
Create New Term Request and prioritize.
Perform Dictionary upversioning activity as and when required.

CDM:


Limited to study conduct activities.
Data review and Query management is done with assistance.
Limited email conversations with Client.
Every activity requires Peer QC by supervisor or allocated seniors.
NO INVOLVEMENT in Set Up and Migration activities.
Limited involvement of data pad locking activities during timelines of DataBase locks.

Project / Process:


Handles First level processing of assigned transactions, Complex problems (procedures/processes) are referred to Supervisor/Line Manager.
Adhere to quality requirements, achieve targets/volumes in given TAT(Turn around time).
Adhere to the mandatory industry regulation and compliance requirements for the given process.

Knowledge Management:


Understand various document templates and standards(Such as SOP's) to interpret the documents & related terminologies.

People/Team Management:


Adhere to org hygiene and compliance needs in terms of Time sheet submission, Assimilation & Attendance.



Must Have Skills

Complaint management-LS
Customer & service excellence.



Location - Gurgaon, Mumbai, Coimbatore, Cochin, Bangalore, Hyderabad.

RoleTeam Leader
Industry TypeIT Services & Consulting
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations
Education
UG :B.Sc in Nursing, B.Pharma in Pharmacy
PG :M.Pharma in Pharmacy, MS/M.Sc(Science) in Nursing
Key Skills
Team ManagementQuery ManagementService ExcellenceCustomer InteractionCustomer service",Team ManagementQuery ManagementService ExcellenceCustomer InteractionCustomer service,"B.Sc in Nursing, B.Pharma in Pharmacy","M.Pharma in Pharmacy, MS/M.Sc(Science) in Nursing"
Data Analyst For Text / Sentiment Analysis,FUTURLYTIC PRIVATE LIMITED,0 - 1 years,Bangalore/Bengaluru( Hebbal Kempapura ),"Futurlytic Private Limited is a new start up organisation located in Bangalore. We work in the field of Data Analytics. We believe that world is moving and trusting towards more social media data in the era of digital transformation. However, the challenge lies how to make these data more useful to solve business problems and transform the data into opportunities. We are working with an eminent US client who is industry leader in translating text into profitable decisions and making state-of-the-art cloud and on-premises text and sentiment analysis technologies that transform customers thoughts and conversations into actionable insights.",IT Services & Consulting,Data Analyst For Text / Sentiment AnalysisFUTURLYTIC PRIVATE LIMITEDSend me jobs like thisApply,"Full Time, Permanent","Job description

Futurlytic Private Limited is a new start up organisation located in Bangalore. We work in the field of Data Analytics. We believe that world is moving and trusting towards more social media data in the era of digital transformation. However, the challenge lies how to make these data more useful to solve business problems and transform the data into opportunities. We are working with an eminent US client who is industry leader in translating text into profitable decisions and making state-of-the-art cloud and on-premises text and sentiment analysis technologies that transform customers thoughts and conversations into actionable insights.

Currently we are rapidly expanding our Engineering team in Bangalore to support this growth journey of our client in data Analytics and AI. We are looking for young and dynamic resources who could join and launch their career in cutting edge technologies. Obviously, the compensation is as per industry standard or above standard with suitable skill sets and right academic credential.

We are seeking Data Analyst Professional under product management team. For this position, you should demonstrate strong writing skills, flexibility, and proven experience in writing query on leading edge technologies like text analytics, data analytics, Sentiment Analysis, Dashboard / reporting using Sprinklr platform and so forth. The candidate shall work on query writing and testing doing suitable research on products.

Responsibilities and Duties

Excellent written and verbal communication skills in English
Ability to learn technical information quickly
Will work on query writing for machine understanding
Willingness to be proactive in seeking information from product management and engineering team
Ability to plan milestones and meet deadlines
An ability to take self-initiative and work with limited direction
Manage update version and release of technical document



Desired Candidate Profile

BE / B. Tech. in Computer Science/ Electronics/Telecommunications or BCA / MCA
Experience: Min 1yr. Smart Fresher can apply.
Work Experiences in Sprinklr platform for Text Analytics and Sentiment analysis
Proficiency in English is compulsory
Candidate should have good knowledge in database query writing skills.
Candidate should have good analytical and issue debugging skills.



Perks and Benefits




Health Insurance, Internet Plan reimbursement, Annual Paid Leave/ Sick Leave

RoleData Analyst
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :B.Tech/B.E. in Computers
Key Skills
Query WritingText AnalyticsSprinklr
Communication SkillsProduct ManagementArtificial IntelligenceData AnalysisDigital TransformationData Analytics
Skills highlighted with ‘‘ are preferred keyskills",Query WritingText AnalyticsSprinklr,B.Tech/B.E. in Computers,
Data Analysts(2) / Data Scientist(1),Step Next Private Limited,0 - 5 years,Hyderabad/Secunderabad( Jubilee Hills ),Job Highlights,IT Services & Consulting,Data Analysts(2) / Data Scientist(1)Step Next Private LimitedSend me jobs like thisI am Interested,"Full Time, Permanent","Job description

Job Highlights

Should have strong mathematical background & analytical bent of mind
We are looking ONLY FOR SELF DRIVEN INDIVIDUALS with a desire to excel in Data Science Domain
Should have familiarity with Machine Learning Models, fundamentals in Forecasting, Optimization Techniques, statistical modelling, and artificial intelligence.
Proven experience as a Data Scientist or similar role as a fresher.



Roles and Responsibilities:

We are looking for someone who would be responsible for analyzing data, data cleansing, data preparation and exploratory data analysis.
As a Data Scientist your responsibilities will include understanding the business problem and experimenting with different modelling architectures to create the best possible setup from model performance as well as computational performance.
To do this job successfully, you need exceptional skills in Machine Learning Algorithms.
Your goal will be to find the best data-based solution for the problem at hand.
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress



Desired Candidate Profile:

Proven experience as a Data Scientist or similar role
Strong in SQL, Python, Tableau & Power BI skills
Should have familiarity with Machine Learning Models and deployment.
Should have strong mathematical background & analytical bent of mind
Strong Problem-Solving Ability
Ability to communicate well in a highly collaborative team environment, consisting of both technical and non-technical personnel
Reliable self-starter that can work with a high degree of autonomy
Should be graduate / post graduate from reputed University



Drop your Resumes to careers@stepnext.com

CONTACT : Narsimha: 8143143521

040- 43464355





RoleUX, Design & Architecture - Other
Industry TypeIT Services & Consulting
Functional AreaUX, Design & Architecture
Employment TypeFull Time, Permanent
Role CategoryOther Design
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization
PG :MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization
Key Skills
Data VisulizationData EngineeringData AnalysisIDEPython/R/JavaMachine Learning",Data VisulizationData EngineeringData AnalysisIDEPython/R/JavaMachine Learning,"B.Tech/B.E. in Any Specialization, BCA in Any Specialization","MS/M.Sc(Science) in Any Specialization, M.Tech in Any Specialization, MCA in Any Specialization"
Graduate Data Analyst,Packt Publishing Pvt. Ltd.,0 - 2 years,Mumbai,Description,Printing & Publishing,Graduate Data AnalystPackt Publishing Pvt. Ltd.3.1(75 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Description

Packtis a global, technical learning publisher with a turnover of 18m and over 400 staff based across the globe, primarily in India and the UK. Principally serving B2C customers across the world, its major clients also include Microsoft, IBM, and Oracle.

We are a leading publisher of technical learning content with the ability to publish books on new and emerging tech faster than any other publisher in the world. Our mission is to increase the shared value of deep tech knowledge. We are tech contentengineers,and we work with some of the most interesting technical minds and ground-breaking creators on the planet.




Role Overview

We are looking for a graduate data analyst to join our PTPN newsletter team. Publishing emails across two cutting-edge domains (security and cloud), our original first-party content is quickly building into a fast-growing audience base. In this role youll work towards building a single source for reporting on newsletter engagement metrics that can be used across multiple customer segments. This will allow us to understand how our content resonates with our subscribers, and how we can better deliver a great subscriber experience.

You will need to be a technically focused individual who has demonstrable interest and experience working with digital marketing datasets. We are rapidly growing startup within Packt and as such we are looking for someone with:

A can do entrepreneurial attitude who is willing to grow and take on new challenges as our business expands, plenty of hustle and active ownership of responsibility from day one.
A flexible approach to working and willingness to step outside of your comfort zone. Were an early stage startup team so your tasks may vary depending on demand and workload.
Willingness to iteratively learn, collaborate and share your learning. A key part of PTPN’s mission within Packt is as a learning hub from the top down!

As one of our first technical hires, you’ll be wearing multiple hats and be collaborating closely with our experienced editorial chiefs to build our growth engine as we scale our further newsletters.




What you’ll do?

You’ll be working with senior members of the PTPN team and other Packt stakeholders to:

Analyse large datasets, identify trends, develop and maintain reports, analyses, dashboards, and other data solutions that educate the team and help make data-driven decisions
Develop a unified system for assessing structured and unstructured datasets across all our current and future newsletter segments
Offer support in building profiles and user personas for cybersecurity and cloud professional user roles for targeted future campaigns
Develop customer surveys and assist the team in making data-driven decisions when building, executing, and analysing survey results
Assist with developing methodologies for segmenting cloud professionals and security professionals based on different user behaviours and patterns.



Who you are?

The work we do is fast paced, demanding, and intellectually challenging. We are looking for dynamic candidates with an interest in technology. You will need strong oral and written communication skills, attention to detail, and excellent organization and time-management skills. You will need to be proactive in troubleshooting and problem-solving, upbeat,enthusiasticand motivated. You will be a demonstrated self-starter who is focused and calm under pressure.




Essentials
Undergraduate degree in Mathematics, Statistics, Engineering or Data Science.

Ability to think outside the box and open to working in a start-up-like environment.
Fluent in Python and the Python ecosystem (e.g. pandas, numpy, bokeh, streamlit)
Strong familiarity with Microsoft Excel and Jupyter.



Nice to Have

Previous demonstrable experience of prior work or personal side projects that showcase familiarity with digital marketing datasets, dashboards and reports.
Knowledge of existing email, content analytics and user profiling tools (like Hotjar, Mouseflow etc).




Why work at Packt?

We recognize how important our people are and acknowledge and support the things that are important to them. We focus on the full employee experience. We aim to create a positive working environment that supports personal and collective development – where our people can not only grow their skill sets, continuously challenge themselves, and develop their careers, but also work together as a team and with our customers.




We try to achieve this by:

Ensuring a positive working environment for all employees, supportive of remote work.
Supporting individual development through growth opportunities and internal mobility.
Encouraging social collaboration within teams and communities and knowledge-sharing.
Fostering a culture that supports a healthy work-life balance.



We seek to achieve this by:

Providing a broad range of benefits and initiatives.
Advocating a healthy lifestyle where wellbeing is seen as an essential responsibility.
Celebrating success stories and encouraging peer-to-peer recognition.
Fostering a culture of self-development.
Providing a work environment where the best idea wins, and challenges are encouraged.




Perks and Benefits

You will also have access to a range of flexible benefits that are designed to help you make the most of your time with us.

Bonus scheme
Provision of laptop and other peripherals.
21 days holiday (plus bank holidays)
Pension contribution
Insurance
Flexible hours: choose how, when and where you work.


RoleData Analyst
Industry TypePrinting & Publishing
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
excelpandaspythondata analysisjupyterstreamlitbokehdata visualizationnumpysql",excelpandaspythondata analysisjupyterstreamlitbokehdata visualizationnumpysql,Any Graduate,
Job | Opportunity For Data Analyst,FE FUNDINFO (INDIA) PRIVATE LIMITED,0 - 1 years,Chennai,,Banking,Job | Opportunity For Data AnalystFE FUNDINFO (INDIA) PRIVATE LIMITED4.9(9 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description
Position: Data Analyst
Job LocationChennai, India
Work Experience Fresher
Qualifications Any Arts & Sciences UG Qualification
Reporting toTeam Leader
Shift scheduleGeneral Shift
Job Summary:
Responsible for collection, validation & analysis of mutual fund data.
Duties and responsibilities:
Collection, validation, analysis of mutual fund information.
Updating the mutual fund information into our databases in a timely manner.
Perform quality checks.
Communicate with UK and Offshore asset management companies via email/telephone.
Provide clarifications to clients queries based on priority and urgency levels.
Extract and provide various project-related reports as required by the manager.
Key Technical Skills
Possess basic knowledge of Mutual funds and/or of the financial sector.
Proficient in MS Office (including MS Outlook)
Competency Requirement:
Strong verbal and written communications skills
Good analytical & problem-solving skills
Ability to work independently.
Planning, organizing and time management skills
Achieve results within deadlines whilst maintaining quality
Company Profile:
As part of a multibillion-pound equity business owned by HG Capital, FE fundinfo is the leading provider of fund data in the UK and specializes in the collection, validation, dissemination and analysis of fund information within data feeds, documentation, web pages and Internet-based fund selection tools. FE fundinfo is an aggressively growing company, through either sales or acquisitions, with operations currently in the UK, Chennai, Hong Kong, Brno, Singapore, Zurich, Luxembourg and Australia.
Technology is at the center of FE fundinfo and how it delivers investment fund data and advice to global clients. The infrastructure team is the foundation for technical and service delivery, ensuring services for both internal and external customers, ensuring fast, efficient and reliable services. The office in Chennai is the heart of technology for FE fundinfo, with a clear vision to continue to expand and grow, aiming to be one of India's top tech companies in the next 3 years.
FE fundinfo is also engaged in the building of software tools, research centers, document production platforms and advanced analytical products for data vendors, institutions and financial advisers enabling them to retrieve and analyze data in forensic detail.
For further details, please visit www.fefundinfo.com


RoleBanking Operations - Other
Industry TypeBanking
Functional AreaBFSI, Investments & Trading
Employment TypeFull Time, Permanent
Role CategoryBanking Operations
Education
UG :B.Sc in Any Specialization, B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.A in Any Specialization
PG :M.A in Any Specialization, M.Com in Any Specialization, MBA/PGDM in Any Specialization
Key Skills
Communication SkillsExcelAnalytical Skills",Communication SkillsExcelAnalytical Skills,"B.Sc in Any Specialization, B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.A in Any Specialization","M.A in Any Specialization, M.Com in Any Specialization, MBA/PGDM in Any Specialization"
Data Analyst / Data Scientist / Business Analytics / Fresher / MNC OSC,GABA Consultancy services ,0 years,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Required Candidate profile,Analytics / KPO / Research,Data Analyst / Data Scientist / Business Analytics / Fresher / MNC OSCGABA Consultancy services Send me jobs like thisApply,"Full Time, Permanent","Job description
Only Fresher Can Apply:

Description

1>MS Office skills: Excel (Advanced, pivot tables, and macro), Word & PowerPoint

2>Work independently

3>Analytical problem-solving

4>Self-starter

5>Understand customer needs and drive impact-full business



Required Candidate profile

Jos in Delhi, Noida,Gurgaon, Greater Noida

First Resume will be shortlisted then interview call will be generate

Other can also apply

Sales

Call Center

Front office Executive

Good in analytics
RoleData Science & Analytics - Other
Industry TypeAnalytics / KPO / Research
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryData Science & Analytics - Other
Education
UG :Any Graduate
Key Skills
O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython,Any Graduate,
Walk-In For Field Executive / Tele Callers / Data Analyst / Freshers,Tagcor India Online Services Pvt Ltd,0 - 1 years,Hyderabad/Secunderabad,Urgent multiple openings for Field Executive / Marketing Executives / Field Sales Executives / Outdoor Marketing Executives / Fresher / Freshers / Hiring Freshers,Software Product,Walk-In For Field Executive / Tele Callers / Data Analyst / FreshersTagcor India Online Services Pvt LtdSend me jobs like thisApply,"Full Time, Permanent","Job description

Urgent multiple openings for Field Executive / Marketing Executives / Field Sales Executives / Outdoor Marketing Executives / Fresher / Freshers / Hiring Freshers




And Multiple Opening For Tele Caller Executive / Voice Process / Call Center Executive / Customer Support Executives / Data Analyst




We are looking for hardworking, smart & passionate people for the DAY SHIFT JOB.




FIELD SALES EXECUTIVES for DAY SHIFTS ONLY!




TELE-CALLERS / CALL CENTRE / OUTBOUND SALES / CUSTOMER SUPPORT / TELECALLERS EXECUTIVE / Data Analyst for NIGHT SHIFT ONLY!




Education: We Don't Care - Not Required (You will not be assessed on your education background).




Experience: 0 to 1 Year




***No Sales Target / No Revenue Target / No Money Generation Target***




People who have the zeal to learn & grow are most welcome!




FRESHERS IMMEDIATELY APPLY!!

Walk-In-Interview: from 21st Sept 2021 to 15th Oct 2021




Walk-in-Timing: 2.00 pm to 10.00 pm




SALARY + INCENTIVES + ALLOWANCES + PERFORMANCE BONUS (MONTHLY/QUARTERLY/YEARLY)




DIRECTLY WALKIN FOR THE INTERVIEW:




Office Address: TAGCOR INDIA ONLINE SERVICES PVT. LTD.,

Suite #201 & 202, Om Sai Arcade,

Lower Tankbund, Hyderabad,

India - Telangana. 500029






Field | Field Executive | Field Sales Executive | Field Officers | Outdoor Marketing Executives | Outbound Sales | Out Sales Marketing Executive | Fresher | Freshers | Inside Sales | Voice Process | Call Center Executive | Customer Support Executive | Tele Caller | Data Analyst

RoleBack Office Operations
Industry TypeSoftware Product
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
TelecallingNight ShiftMarketing
Customer SupportOutbound SalesField SalesCallingInside SalesVoice ProcessCall Center
Skills highlighted with ‘‘ are preferred keyskills",TelecallingNight ShiftMarketing,Graduation Not Required,
