MyUnknownColumn,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
376,TCS,"Data Analyst",1,4.7L,2.4L,8.9L,1600
377,Cognizant,"Data Analyst",1,5.5L,2.9L,8.3L,1200
378,Accenture,"Data Analyst",1,5.2L,2.3L,11.0L,1100
379,Capgemini,"Data Analyst",0,4.6L,3.0L,9.0L,485
380,Wipro,"Data Analyst",1,4.8L,2.2L,9.0L,475
381,GlobalLogic,"Data Analyst",1,2.5L,2.0L,3.5L,415
382,"Tech Mahindra","Data Analyst",1,4.6L,2.2L,7.5L,397
383,Amazon,"Data Analyst",1,5.2L,2.5L,15.3L,380
384,Infosys,"Data Analyst",1,5.7L,3.4L,12.0L,323
385,"HCL Technologies","Data Analyst",1,4.5L,2.4L,9.5L,320
386,eClerx,"Data Analyst",0,2.5L,2.0L,3.9L,302
388,"Ernst & Young","Data Analyst",1,5.8L,3.4L,10.5L,297
389,Flipkart,"Data Analyst",1,5.9L,3.2L,12.0L,241
390,Genpact,"Data Analyst",1,4.7L,2.5L,9.0L,228
392,"Concentrix Corporation","Data Analyst",1,3.9L,2.4L,6.3L,209
393,Deloitte,"Data Analyst",1,7.6L,4.3L,13.0L,202
394,"Zen3 Info Solutions","Data Analyst",1,3.1L,2.2L,4.2L,188
395,"Unilog Content Solutions ( P)","Data Analyst",1,2.5L,2.0L,3.2L,181
396,"Cogencis Information Services","Data Analyst",1,1.7L,1.2L,2.6L,175
398,"Qualsquad Infotech","Data Analyst",0,2.0L,1.1L,3.0L,149
399,"NTT DATA","Data Analyst",1,4.3L,2.1L,8.0L,138
400,InnovAccer,"Data Analyst",0,9.2L,5.0L,13.0L,137
401,Teleperformance,"Data Analyst",1,2.4L,1.8L,4.4L,132
402,Mindtree,"Data Analyst",1,5.6L,4.0L,9.6L,132
404,"Apex CoVantage","Data Analyst",0,1.8L,1.1L,3.0L,123
405,"Tiger Analytics","Data Analyst",0,8.8L,7.5L,12.0L,120
406,Cyient,"Data Analyst",1,3.4L,1.8L,6.7L,119
407,"Urjanet Energy Solutions","Data Analyst",1,2.7L,2.0L,4.2L,118
408,HSBC,"Data Analyst",1,8.0L,3.4L,12.4L,117
409,"DXC Technology","Data Analyst",1,5.4L,3.7L,10.2L,109
410,"QUADRANT RESOURCE LLC","Data Analyst",1,3.0L,1.5L,4.0L,109
411,PwC,"Data Analyst",0,6.3L,3.2L,12.0L,108
412,"LatentView Analytics","Data Analyst",0,6.3L,5.0L,9.0L,104
413,"EXL Service","Data Analyst",1,5.0L,2.2L,9.1L,102
414,KPMG,"Data Analyst",1,6.7L,3.0L,12.0L,100
415,WNS,"Data Analyst",1,5.2L,2.0L,8.9L,98
416,Myntra,"Data Analyst",1,9.6L,4.8L,14.0L,98
