ï»¿Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
"Data Analyst","EnvestNet Asset Management India P Ltd","0 - 3 years",Trivandrum/Thiruvananthapuram,,Banking,"Data AnalystEnvestNet Asset Management India P Ltd3.9(84 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description    Key responsibilities include      Discovering various business use cases for which customers leverage Yodlee data across various business units     Analysis of the financial data to increase data quality coverage and accuracy for customers     Solutioning to the gaps identified based on data driven decisions     Write user stories and review with engineering     Understanding the layout, functionality, business content and information contained within a Content Service URL, web site, or data feed     Working with multiple teams to ensure the solutioning is understood, built and rolled out successfully     Working with our various external partners to improve data quality dimensions     Participate in customer calls with CS partners to understand the customer data problems     Help to improve effectiveness and efficiency by improving on processes, building automation, building tools, building self-service mechanisms      Mindset, Skill set and Tool set Expectation for the Role      Must be a good team player with obsession for customer data delight experience     Accountability and ownership driven     Fearless mindset to learn and experiment various hypothesis to improve the customer data delight experience     Ability to build networking and maintain relationships across different teams     Ability to define individual work schedule, set milestones and deliver accordingly     Ability to troubleshoot, problem solve, and manage stakeholder issues     Strong research and analytical skills on financial data     Good prioritization skills based on cost/benefit and impact     Good sensing, listening and articulation skill with English as the language medium     Agile exposure: Scrum and Kanban     Computer skills and software knowledge, preferably Windows, Microsoft Office products (Word, Excel, PowerPoint, etc.)     General knowledge of application software and processes in delivering services     Desirable technical skills: Knowledge of conceptual database modelling and SQL   RoleBusiness Analyst,Industry TypeBanking,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsApplication SoftwareExcelMicrosoft Office ProductsUse CasesAnalytical SkillsUser StoriesScrumData AnalystWindowsSql","Application SoftwareExcelMicrosoft Office ProductsUse CasesAnalytical SkillsUser StoriesScrumData AnalystWindowsSql","Any Graduate","Any Postgraduate"
"Data Analyst","DSM Soft (P) Ltd","0 - 4 years",Tiruchirapalli/Trichy,"Requirement : Data Analyst Executive & Lead","IT Services & Consulting","Data AnalystDSM Soft (P) Ltd3.7(56 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description

Requirement : Data Analyst Executive & Lead

Experience for Executive : 1 year or lesser

Experience for Lead : 2 to 3 years

Job Location : Trichy

Qualification : Any degree




Hard Skills :



Good in arithmetic and simple maths
Experience in preparation of reports and charts from structured and unstructured data
Experience or else knowledge with databases and SQLs
Use of Data Analytics tools such as Tableau
Ability to prepare reports and charts with spreadsheets
Knowledge of Data Analytics tools would be an added advantage



Soft Skills:



Good in Oral and Written English Communication
Collaboration/Team working
Innovative



RoleData Analyst
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
Data AnalysisTableauSQL
Report PreparationData Analytics toolChartsData AnalyticsArithmetic
Skills highlighted with â€˜â€˜ are preferred keyskills","Data AnalysisTableauSQL","Any Graduate",
"Data Analyst","Shoppers Stop Ltd","0 - 2 years",Mumbai,,Retail,"Data AnalystShoppers Stop Ltd4.3(1625 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description       Developing and implementing the marketing strategy to accelerate the revenue and footfall growth.            The role supports the overall business strategy by directing various activities of marketing including, branding, digital marketing, shopper marketing, PR, new product development, business analytics and loyalty programs through guided market and consumer research.            Implementing the digital customer experience strategy which included among others endless aisle, social media marketing, influencer marketing, content marketing, marketing automations, personal shopper program with data intelligence, mobile based net promoter score system and digitization of the loyalty program.            Developing the business analytics strategy and built customer centric campaigns which, resulted in an increase in share of business by loyalty members across the enterprise and including for both stores and online channels           Leveraged social media data to measure and manage channel, content and media performance           Driving business outcomes based on understanding of the customer purchase through business analytics and customer lifecycle management            Introducing the business analytics and customer insights practice within the organization          Handling the team mentoring them in Loyalty, Research, Analytics          Evaluating ROI on initiatives taken          Defining SOPs for CRM Loyalty Operations           Initiating discussion closing in partner / vendor alliances as per requirement. Executing all advertising and Direct Marketing communication with the Loyalty Program             Built strategic external alliances and partnerships with vendors to boost consumer advantages beyond the normal discounts and offers           Implemented data analytics enhancing acquisition of new members, revenue generation targeting and upward migration of members across the value chain.             CRM/Loyalty:           Customer Life cycle management, segmentation, tiering, cross sell, new customer acquisition, Campaign planning calendaring the CRM Loyalty initiatives for the year.           Analytics:           Data Driven Decision making for insight strategy driven CRM approach. Measuring ROI           on CRM initiatives incremental revenue generated through campaigns. Predictive          Modelling, Association, Scoring etc.          Implemented data analytics enhancing acquisition of new members, revenue generation targeting and upward migration of members across the value chain    RoleMarketing Manager,Industry TypeRetail,Functional AreaMarketing & Communication,Employment TypeFull Time, PermanentRole CategoryMarketingEducationUG :Any GraduatePG :Any PostgraduateKey SkillsConsumer researchSocial media marketingDirect marketingBusiness analyticsSocial mediaBusiness strategyDigital marketingRevenue generationMarketing strategyCRM","Consumer researchSocial media marketingDirect marketingBusiness analyticsSocial mediaBusiness strategyDigital marketingRevenue generationMarketing strategyCRM","Any Graduate","Any Postgraduate"
"Data Analyst","Novel Office ","0 - 3 years",Bangalore/Bengaluru,"Required Candidate profile",Miscellaneous,"Data AnalystNovel Office Send me jobs like thisApply","Full Time, Permanent","Job description
Basic Data entry operation
Data uploading and scrubbing
MIS activities & Basic Data entry operation
Spreadsheet preparation and data management



Required Candidate profile

1-3 Years of experience.
Daily/Weekly/Monthly reports knowledge.
Advanced Excel Expertise (including Pivot, all functions etc.) and Analytical Skills.
Good communication & comprehending skills.
VBA, Macro & basic SQL knowledge will be an added advantage.

RoleData Analyst
Industry TypeMiscellaneous
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Communication SkillsMonthly Dash BoardsNon Voice ProcessMISData AnalysisAdvanced ExcelProcess ExcellenceFresherData ProcessingBusiness Process AnalysisMba FresherMacros","Communication SkillsMonthly Dash BoardsNon Voice ProcessMISData AnalysisAdvanced ExcelProcess ExcellenceFresherData ProcessingBusiness Process AnalysisMba FresherMacros","Any Graduate","Any Postgraduate"
"Data Analyst","AINE Info Tech Pvt Ltd","0 - 2 years","Delhi / NCR","Required Candidate profile","IT Services & Consulting","Data AnalystAINE Info Tech Pvt LtdSend me jobs like thisApply","Full Time, Permanent","Job description
- Work and maintain ETL process
- Leverage analytics to identify data patterns and deduce insights
- Developing visualization and reports as per the business requirements
- Work on Advanced Excel and any visualization tool such as Tableau or Power BI



Required Candidate profile

- Any degree with exposure to data & business analytics
- Knowledge in Data Mining/Data Science workflows or ETL Processes
- Working knowledge of on data visualization tool
- Excellent communication



Perks and benefits

Health insurance, work from home, higher EPF
RoleData Analyst
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
Key Skills
Predictive ModelingBusiness IntelligenceBusiness AnalyticsPower BiData MiningData CleansingAdvanced ExcelTableauBusiness AnalysisSQLData AnalysisData VisualizationData Analytics","Predictive ModelingBusiness IntelligenceBusiness AnalyticsPower BiData MiningData CleansingAdvanced ExcelTableauBusiness AnalysisSQLData AnalysisData VisualizationData Analytics","Any Graduate",
"Data Analyst","SKILLLABS RESOURCE SERVICES Pvt Ltd","0 - 2 years",Mohali,"Required Candidate profile","Management Consulting","Data AnalystSKILLLABS RESOURCE SERVICES Pvt LtdSend me jobs like thisApply","Full Time, Permanent","Job description
Collecting &interpreting data Analysing results Reporting the results back to the relevant members of the business Identifying patterns&trends in data sets Working alongside teams within the business or the management team to establish business needs



Required Candidate profile

Ability to analyse large datasets Ability to write comprehensive reports Strong verbal and written communication skills An analytical mind and inclination for problem-solving Attention to detail
RoleResearch Analyst
Industry TypeManagement Consulting
Functional AreaBFSI, Investments & Trading
Employment TypeFull Time, Permanent
Role CategoryTrading, Asset & Wealth Management
Education
UG :B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical, BCA in Computers
PG :MCA in Computers
Key Skills
MISData AnalysisData Collectiondata analyst","MISData AnalysisData Collectiondata analyst","B.Tech/B.E. in Electronics/Telecommunication, Computers, Electrical, BCA in Computers","MCA in Computers"
"Data Analyst","St. Johnâ€™s Research Institute","0 - 4 years",Bengaluru,"    Qualification :        Ph.D.    ","Education / Training","Data AnalystSt. Johnâ€™s Research InstituteSend me jobs like thisApply","Full Time, Permanent","Job description    Qualification :        Ph.D.         Experience :        Fresher. Preference for candidates with knowledge in R and Python Coding programme        Brief Description about the Project:       To define the role of quality protein in infant growth     To evaluate vitamin B12 absorption and deficiency, in relation to genetic varians     To evaluate the role of quality foods in time trend and geospatial analyses on child undernutrition and the relation of air pollution and child health      Core Responsibilities:       Co-ordinating with the sequencing facilities for the genomic analyses as well as conducting the bioinformatics of omics data generated       Key Skills:       Basic knowledge of genomic analysis         Specific Activities         Genomic analyses as well as conducting the bioinformatics of omics data generated.   RoleStatistician,Industry TypeEducation / Training,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryData Science & Machine LearningEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsNutritionCodingCRCData AnalystResearchBioinformaticsPython","NutritionCodingCRCData AnalystResearchBioinformaticsPython","Any Graduate","Post Graduation Not Required"
"Data Analyst",Thrillophilia,"0 - 3 years",Jaipur,,Internet,"Data AnalystThrillophilia4.2(46 Reviews)Send me jobs like thisApply","Full Time, Permanent","Job description  Responsibilities     Interpret data, analyze results using statistical techniques and provide ongoing reports     Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality     Acquire data from primary or secondary data sources and maintain databases/data systems     Identify, analyze, and interpret trends or patterns in complex data sets     Locate and define new process improvement opportunities     Use data to create models that depict trends in the customer base and the consumer population as a whole     Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks     Identify trends and opportunities for growth through analysis of complex data sets     Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets     Create best-practice reports based on data mining, analysis, and visualization      Requirements     Proven 1-year experience as a data analyst.     Technical expertise regarding data models, database design development, data mining and segmentation techniques     Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc)     Strong Knowledge of Excel, Python, r language     Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy     Adept at queries, report writing and presenting findings  RoleNon - Tech Support - Voice / Blended,Industry TypeInternet,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsBusiness objectsPDFDatabase designProcess improvementData collectionData AnalystData analyticsData miningSQLPython","Business objectsPDFDatabase designProcess improvementData collectionData AnalystData analyticsData miningSQLPython","Any Graduate","Post Graduation Not Required"
"Data Analyst","Euromoney Institutional Investor PLC","0 - 2 years",Chennai,"

JOB DESCRIPTION

JOB TITLE: Data Analyst","Financial Services","Data AnalystEuromoney Institutional Investor PLCSend me jobs like thisApply","Full Time, Permanent","Job description



JOB DESCRIPTION

JOB TITLE: Data Analyst




REPORTS TO: Regional Team Leader




LOCATION: Chennai, India




DEPARTMENT: Derivatives Pillar/Data Services/Structured Retail Products




Benefits : Hybrid Working Model, Weekend offs.


JOB PURPOSE




To ensure customer and business data requirements are met through following, establishing, achieving and maintaining data sourcing, entry, output and quality objectives of structured products.

PRINCIPAL ACCOUNTABILITIES

As part of the SRP data team:


Ensure that the Structured Retail Products database is maintained to exacting standards of quality through the use of bespoke workflow tools and training from domain experts
Target turnaround for updating database should be no longer than 24 hours after system exception notifications or client queries. Appropriate records/reports must be maintained to provide an audit of data changes. Appropriate steps must be made to obtain missing information. Maintain a record of action(s) taken
Ensure that all appropriate data is obtained and processed. Maintain a good record of issues, resolutions, improvements, best practices and demonstrate a procedure for review/updating
Deliver client contract commitments (SLAs) to time, quality and cost, highlighting risks and mitigation strategies accordingly
Ensure all associated projects are performed to agreed deadlines and appropriate records are maintained
Ensure that procedure guides for all data management processes are maintained and are constantly updated with any changes or amendments
Ensure all team tick lists, proformas, logs, etc. are properly maintained
Keep track of trends and pro-actively identify continuous improvement measures
Provide cover during staff absences and peak volumes, as directed by the Team Leader
Engage with other team members, building a high performance and inclusive culture in which talent can thrive
Achieve alignment and understanding to Euromoneys code of conduct and group policies across the team
To work with peers across the team to establish networking links and common areas for collaboration
Undertake projects as directed by the Team Leader
Undertake client investigations as directed by the Team Leader.


KEY INTERFACES


Works with internal staff to ensure cost-effective and efficient data sourcing
Liaises with clients and other third parties to ensure customer service levels are maintained and improved and client issues are effectively dealt with
Liaises with business users of data management systems and productivity applications and collating feedback to ensure all user needs are met
Keeps management informed of operational status through periodic status reporting and project updates.




KNOWLEDGE, EXPERIENCE AND SKILLS


Personal Skills Essential:


Good written and verbal communication skills
Good interaction with staff and working with teams - Strong team player
Very good organisational and planning skills
A very high standard of focus, accuracy and attention to detail is essential.
Strong analytical and problem-solving skills
Exemplary high standards of honesty, integrity and endeavour
Ability to use initiative in identifying day to day issues and challenges and recommending appropriate course of action(s).
Basic knowledge and understanding of business terminology
Must be flexible and able to handle multiple tasks
Ability to establish priorities, work independently, and proceed with objectives with minimal supervision
Excellent numeracy
A self-starter who can contribute to the team with minimal supervision
Ability to work under pressure and tight schedules


Personal Skills Desirable:


Ideally, experience gained within a futures & options trading environment or support background.
Previous database administration experience.


Qualifications:


Bachelors Degree in Finance, Business or Mathematics/Statistics
Fluency in English
Understanding of financial markets.



Experience Must Have:


Excellent knowledge of the Internet
Microsoft Office Products (Access, Excel, PowerPoint and Word).



Experience Desirable:



Structured Products knowledge
Data entry in exacting quality centric environment.





RoleData Analyst
Industry TypeFinancial Services
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Data AnalysisAdvanced ExcelVBData AnalyticsMacrosStatistics","Data AnalysisAdvanced ExcelVBData AnalyticsMacrosStatistics","Any Graduate","Any Postgraduate"
"Data Analyst","Imperial Training & Consulting","0 - 2 years","Noida, Greater Noida",,"Recruitment / Staffing","Data AnalystImperial Training & ConsultingSend me jobs like thisApply","Full Time, Permanent","Job descriptionData Exploration & Analysis. 

Data Mining. 

Collecting and mining data.

Also,  show teams and ensuring other teams correctly input data. 

should have the know how of data cleaning or data extraction from different sources.

To generate leads and data profiling. 

Positive Attitude 

Flexible Attitude 

Strong written and verbal communication & Good team player. 

Data analysis and interpretation skills. 

Ability to work with personnel from all levels and the ability to deal with difficult situations 

Ability to work independentlyRoleNon - Tech Support - Voice / Blended,Industry TypeRecruitment / Staffing,Functional AreaCustomer Success, Service & Operations,Employment TypeFull Time, PermanentRole CategoryVoice / BlendedEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsLead generationData analysisData managementData AnalystData miningData extractiondata profiling","Lead generationData analysisData managementData AnalystData miningData extractiondata profiling","Any Graduate","Post Graduation Not Required"
