job_title,company,job_location,job_summary,post_date,today,job_salary,job_url
"Data Analyst",Maersk,"Chennai, Tamil Nadu","Analyze data and develop machine learning models to support decision making in the business.,Data exploration, analysis, synthesis, and presentation.","PostedPosted 7 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=b86c122301a09805&fccid=14e7391c55beeb80&vjs=3
"Data analyst",Honeywell,"Bengaluru, Karnataka","Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big dataâ€¦","PostedPosted 7 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=c53336a9dee8c804&fccid=50208b5bf45ee3b8&vjs=3
"Data Analyst","Creditas Solutions","Gurgaon, Haryana","Solutions to the top Financial Institutions in India.,Our growing technology firm is looking for an experienced Data Analyst who is able to turn project.","Posted19 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=c68def4b6be4f911&fccid=a32dd1293e217fc5&vjs=3
"Data Analyst","Serendipity corporate services","Remote in Hyderabad, Telangana","Hands-on expertise in predictive modeling, machine learning, and other advanced analytical techniques.,Key skills: Marketing Analytics, Risk Analytics, SAS,â€¦","EmployerActive 7 days ago",2022-07-26,"â‚¹20,00,000 - â‚¹25,00,000 a year",https://in.indeed.com/company/serendipity-corporate-services/jobs/Data-Analyst-5363bec2f6f0a000?fccid=a2ddb081299566b5&vjs=3
"Data Analyst",Ericsson,"Noida, Uttar Pradesh","We are looking for a Data Analyst who will design, develop and maintain high quality Tableau Dashboards.,We organize in cross functional design teams in whichâ€¦","Posted13 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=bb1dde2cd57bb49f&fccid=82656d64a9a3e6a7&vjs=3
"Data Analyst","Benchmark Digital Partners","Bengaluru, Karnataka","Excellent pattern recognition, natural language processing (NLP), predictive and machine learning modelling.,Innovate with Benchmark Digital as a Data Analyst.",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=0ca487044201e86e&fccid=7761232c045d0f09&vjs=3
"Data Analyst",Vodafone,"Pune, Maharashtra","The Business Intelligence Advisor supports in the delivery of Business Intelligence (BI) capabilities, which play a key role in strategic planning and allow theâ€¦",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=3cb0541f20d23d10&fccid=374d720d3973ca1c&vjs=3
"Data Analyst","Foxx Life Sciences Pvt Ltd",Remote,"Techniques in data design and data management.,Provide data to users by extracting that data from the ERP system.,Other projects and duties as assigned.","Posted4 days ago",2022-07-26,,https://in.indeed.com/company/Foxx-lifesciences/jobs/Data-Analyst-ddfd7d8efcf04e7e?fccid=362bf68cac54a10e&vjs=3
"Data Analyst","Patra Corp","Temporarily Remote in Visakhapatnam, Andhra Pradesh","Research opportunities for data acquisition and new uses for existing data.,Recommend ways to improve data reliability, efficiency and quality (e.g. dataâ€¦","PostedPosted 6 days ago",2022-07-26,,https://in.indeed.com/company/Patra-Corp/jobs/Data-Analyst-b588130ba4ba1dfc?fccid=df420c31dd6f3188&vjs=3
"Data Analyst","Quotient Technology","Bengaluru, Karnataka","Identify and assess key opportunity areas where data and science can enhance products.,3 to 6 yearsâ€™ experience in applying data and science to improve productsâ€¦",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=b3742ad6e6986c2c&fccid=1bd1c8048f82548f&vjs=3
"Data Analyst","Benchmark Digital Partners","Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation.,Must be able to clearly understand and articulate a data science problemâ€¦",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=0ca487044201e86e&fccid=7761232c045d0f09&vjs=3
"Data Analyst","Serendipity corporate services","Remote in Hyderabad, Telangana","Data science: 6 years (Preferred).,*6*+ years of experience in data analytics and consulting.,Advanced programming skills; proficiency with R or Python;â€¦","EmployerActive 7 days ago",2022-07-26,"â‚¹20,00,000 - â‚¹25,00,000 a year",https://in.indeed.com/company/serendipity-corporate-services/jobs/Data-Analyst-5363bec2f6f0a000?fccid=a2ddb081299566b5&vjs=3
"Data Analyst","Travitons Technologies Pvt Ltd","Pune, Maharashtra","Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization.","EmployerActive 3 days ago",2022-07-26,"â‚¹50,000 - â‚¹1,50,000 a month",https://in.indeed.com/company/Travitons-Technologies-Pvt-Ltd/jobs/Data-Analyst-0cc2ebdbcc58360e?fccid=8a48d18f38d019fa&vjs=3
"Data Analyst",Honeywell,"Bengaluru, Karnataka+1 location","Have 2 to 4 years of data engineering experience in any data warehousing platform.,You will work on a team including scrum masters, product owners, dataâ€¦","PostedPosted 11 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=1badadef73720743&fccid=50208b5bf45ee3b8&vjs=3
"Data Analyst","Culture Arc","Bengaluru, Karnataka","Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,â€¦","EmployerActive 22 days ago",2022-07-26,,https://in.indeed.com/company/Culture-Arc/jobs/Data-Analyst-a9d6fe5dc2fdc927?fccid=4dd0c00f4e2487b8&vjs=3
"Data Analyst",Wakefit,"Bengaluru, Karnataka","Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization.","Posted17 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=8ceb40b2c312305a&fccid=7cbd16865164db49&vjs=3
"Data Analyst",Wakefit,"Bengaluru, Karnataka","Performing and documenting data analysis, data validation, and data mapping/design.,Creating tools to store data within the organization.","PostedPosted 17 days ago",2022-07-26,,https://in.indeed.com/rc/clk?jk=8ceb40b2c312305a&fccid=7cbd16865164db49&vjs=3
